RECN,ID,TIME,CMT,EVID,AMT,DV,LNDV,FLAG,DGRP,ROUTE,BW,ADA,SPEC,CMPD
1,1,0,1,1,9,0,0,0,9,1,3,0,2,1
2,1,0.083,2,0,0,78.91,4.3683,0,9,1,3,0,2,1
3,1,0.5,2,0,0,67.59,4.2135,0,9,1,3,0,2,1
4,1,1,2,0,0,88.237,4.48,0,9,1,3,0,2,1
5,1,2,2,0,0,87.663,4.4735,0,9,1,3,0,2,1
6,1,4,2,0,0,46.898,3.848,0,9,1,3,0,2,1
7,1,24,2,0,0,46.723,3.8442,0,9,1,3,0,2,1
8,1,48,2,0,0,14.475,2.6725,0,9,1,3,0,2,1
9,1,144,2,0,0,0,0,1,9,1,3,0,2,1
10,1,240,2,0,0,0,0,1,9,1,3,0,2,1
11,1,336,2,0,0,0,0,1,9,1,3,0,2,1
12,2,0,1,1,0.9,0,0,0,0.9,1,0.3,1,3,1
13,2,0.083,2,0,0,63.381,4.1492,0,0.9,1,0.3,1,3,1
14,2,0.5,2,0,0,89.114,4.4899,0,0.9,1,0.3,1,3,1
15,2,1,2,0,0,76.522,4.3376,0,0.9,1,0.3,1,3,1
16,2,2,2,0,0,35.909,3.581,0,0.9,1,0.3,1,3,1
17,2,4,2,0,0,30.123,3.4053,0,0.9,1,0.3,1,3,1
18,2,24,2,0,0,36.708,3.603,0,0.9,1,0.3,1,3,1
19,2,48,2,0,0,11.022,2.3999,0,0.9,1,0.3,1,3,1
20,2,144,2,0,0,0.11648,-2.15,0,0.9,1,0.3,1,3,1
21,2,240,2,0,0,0,0,1,0.9,1,0.3,1,3,1
22,2,336,2,0,0,0,0,1,0.9,1,0.3,1,3,1
23,3,0,1,1,0.06,0,0,0,0.06,1,0.02,1,4,1
24,3,0.083,2,0,0,60.53,4.1031,0,0.06,1,0.02,1,4,1
25,3,0.5,2,0,0,46.706,3.8439,0,0.06,1,0.02,1,4,1
26,3,1,2,0,0,57.43,4.0506,0,0.06,1,0.02,1,4,1
27,3,2,2,0,0,74.745,4.3141,0,0.06,1,0.02,1,4,1
28,3,4,2,0,0,38.223,3.6434,0,0.06,1,0.02,1,4,1
29,3,24,2,0,0,30.753,3.426,0,0.06,1,0.02,1,4,1
30,3,48,2,0,0,10.576,2.3586,0,0.06,1,0.02,1,4,1
31,3,144,2,0,0,0,0,1,0.06,1,0.02,1,4,1
32,3,240,2,0,0,0,0,1,0.06,1,0.02,1,4,1
33,3,336,2,0,0,0,0,1,0.06,1,0.02,1,4,1
34,4,0,1,1,30,0,0,0,30,1,3,0,2,1
35,4,0.083,2,0,0,260.52,5.5627,0,30,1,3,0,2,1
36,4,0.5,2,0,0,306.53,5.7253,0,30,1,3,0,2,1
37,4,1,2,0,0,488,6.1903,0,30,1,3,0,2,1
38,4,2,2,0,0,394.69,5.9781,0,30,1,3,0,2,1
